"","species_name"
"1","Acetobacter_pasteurianus"
"2","Acinetobacter_baumannii"
"3","Acinetobacter_haemolyticus"
"4","Acinetobacter_indicus"
"5","Acinetobacter_johnsonii"
"6","Acinetobacter_pittii"
"7","Acinetobacter_seifertii"
"8","Aeromonas_caviae"
"9","Aeromonas_hydrophila"
"10","Aeromonas_salmonicida"
"11","Aeromonas_veronii"
"12","Agrobacterium_fabrum"
"13","Agrobacterium_tumefaciens"
"14","Alteromonas_macleodii"
"15","Bacillus_amyloliquefaciens"
"16","Bacillus_anthracis"
"17","Bacillus_cereus"
"18","Bacillus_cytotoxicus"
"19","Bacillus_licheniformis"
"20","Bacillus_mycoides"
"21","Bacillus_subtilis"
"22","Bacillus_thuringiensis"
"23","Bacillus_toyonensis"
"24","Bacillus_velezensis"
"25","Bacteroides_fragilis"
"26","Bacteroides_thetaiotaomicron"
"27","Borrelia_miyamotoi"
"28","Borreliella_burgdorferi"
"29","Buchnera_aphidicola"
"30","Burkholderia_cenocepacia"
"31","Burkholderia_glumae"
"32","Burkholderia_multivorans"
"33","Burkholderia_pseudomallei"
"34","Campylobacter_coli"
"35","Campylobacter_fetus"
"36","Campylobacter_jejuni"
"37","Chlamydia_psittaci"
"38","Chlamydia_trachomatis"
"39","Citrobacter_freundii"
"40","Citrobacter_portucalensis"
"41","Clavibacter_michiganensis"
"42","Clostridioides_difficile"
"43","Clostridium_botulinum"
"44","Clostridium_butyricum"
"45","Clostridium_perfringens"
"46","Coxiella_burnetii"
"47","Cronobacter_sakazakii"
"48","Deinococcus_radiodurans"
"49","Enterobacter_asburiae"
"50","Enterobacter_cloacae"
"51","Enterobacter_hormaechei"
"52","Enterobacter_kobei"
"53","Enterobacter_roggenkampii"
"54","Enterococcus_faecalis"
"55","Enterococcus_faecium"
"56","Enterococcus_hirae"
"57","Erwinia_amylovora"
"58","Escherichia_albertii"
"59","Escherichia_coli"
"60","Escherichia_fergusonii"
"61","Helicobacter_pylori"
"62","Klebsiella_aerogenes"
"63","Klebsiella_grimontii"
"64","Klebsiella_michiganensis"
"65","Klebsiella_oxytoca"
"66","Klebsiella_pneumoniae"
"67","Klebsiella_quasipneumoniae"
"68","Klebsiella_variicola"
"69","Lacticaseibacillus_paracasei"
"70","Lacticaseibacillus_rhamnosus"
"71","Lactiplantibacillus_plantarum"
"72","Lactobacillus_helveticus"
"73","Lactococcus_cremoris"
"74","Lactococcus_lactis"
"75","Latilactobacillus_curvatus"
"76","Latilactobacillus_sakei"
"77","Legionella_pneumophila"
"78","Leptospira_interrogans"
"79","Leptospira_noguchii"
"80","Leuconostoc_mesenteroides"
"81","Levilactobacillus_brevis"
"82","Ligilactobacillus_salivarius"
"83","Limosilactobacillus_reuteri"
"84","Listeria_innocua"
"85","Listeria_monocytogenes"
"86","Morganella_morganii"
"87","Mycobacterium_avium"
"88","Mycobacterium_intracellulare"
"89","Mycobacteroides_abscessus"
"90","Neisseria_gonorrhoeae"
"91","Pantoea_agglomerans"
"92","Pantoea_ananatis"
"93","Parabacteroides_distasonis"
"94","Pasteurella_multocida"
"95","Pediococcus_acidilactici"
"96","Pediococcus_pentosaceus"
"97","Phaeobacter_inhibens"
"98","Photobacterium_damselae"
"99","Piscirickettsia_salmonis"
"100","Prescottella_equi"
"101","Priestia_megaterium"
"102","Proteus_mirabilis"
"103","Providencia_rettgeri"
"104","Pseudomonas_aeruginosa"
"105","Pseudomonas_putida"
"106","Pseudomonas_syringae"
"107","Pseudosulfitobacter_pseudonitzschiae"
"108","Ralstonia_solanacearum"
"109","Raoultella_ornithinolytica"
"110","Rhizobium_leguminosarum"
"111","Rhizobium_phaseoli"
"112","Rhodococcus_erythropolis"
"113","Rhodococcus_pyridinivorans"
"114","Rhodococcus_qingshengii"
"115","Salmonella_enterica"
"116","Serratia_marcescens"
"117","Shigella_boydii"
"118","Shigella_dysenteriae"
"119","Shigella_flexneri"
"120","Shigella_sonnei"
"121","Sinorhizobium_meliloti"
"122","Staphylococcus_argenteus"
"123","Staphylococcus_aureus"
"124","Staphylococcus_epidermidis"
"125","Staphylococcus_haemolyticus"
"126","Staphylococcus_saprophyticus"
"127","Staphylococcus_simulans"
"128","Streptococcus_suis"
"129","Streptococcus_thermophilus"
"130","Streptomyces_clavuligerus"
"131","Thermus_thermophilus"
"132","Vibrio_alginolyticus"
"133","Vibrio_campbellii"
"134","Vibrio_cholerae"
"135","Vibrio_parahaemolyticus"
"136","Weissella_cibaria"
"137","Xanthomonas_campestris"
"138","Xanthomonas_citri"
"139","Xanthomonas_oryzae"
"140","Xanthomonas_phaseoli"
"141","Xylella_fastidiosa"
"142","Yersinia_enterocolitica"
"143","Yersinia_pestis"
"144","Yersinia_pseudotuberculosis"
"145","Yersinia_ruckeri"
"146","Zymomonas_mobilis"
